"id","created_at","material","name","band","clearanceFeeExport","priceImport","clearanceFee","priceFull","type","priceExport","note","","",""
"92133","6/8/2025","[03023500] سمك تونة الأطلنطي والهادي ذات الزعنفة الزرقاء ""Bluefin"" (""Thunnus, Thynnus, Thunnus orintalis "").","سمك تونة الأطلنطي والهادي ذات الزعنفة الزرقاء ""Bluefin"" (""Thunnus, Thynnus, Thunnus orintalis "").","03023500","2","150","50","200","وزن","0","","","",""
"92134","6/8/2025","[03023600] سمك تونة الجنوب ذات الزعنفة الزرقاء ( "" Thunnus maccoyii "")","سمك تونة الجنوب ذات الزعنفة الزرقاء ( "" Thunnus maccoyii "")","03023600","2","150","50","200","وزن","0","","","",""
"92135","6/8/2025","[03023900] أسماك تونه أخر (غ م س) طازجة أو مبردة عدا أحشاء السمك الصالحة للأكل.","أسماك تونه أخر (غ م س) طازجة أو مبردة عدا أحشاء السمك الصالحة للأكل.","03023900","2","150","50","200","وزن","0","","","",""
"92136","6/8/2025","[03024100] سمك الرنجة (Clupea pallasii, Clupea harengus).","سمك الرنجة (Clupea pallasii, Clupea harengus).","03024100","2","150","50","200","وزن","0","","","",""
"92137","6/8/2025","[03024200] سمك الأنشوا (""Engraulis spp"")","سمك الأنشوا (""Engraulis spp"")","03024200","2","150","50","200","وزن","0","","","",""
"92138","6/8/2025","[03024300] سمك السردين (Sardina pilchardus Sardinops spp.,) وساردينيلا (spp. Sardinella)  و رنجة صغيرة  أو  اسبرط (  Sprattus sprattus).","سمك السردين (Sardina pilchardus Sardinops spp.,) وساردينيلا (spp. Sardinella)  و رنجة صغيرة  أو  اسبرط (  Sprattus sprattus).","03024300","2","150","50","200","وزن","0","","","",""
"92139","6/8/2025","[03024400] سمك الأسقمري ""ماكاريل""(  Scomber scombrus  ,Scomber australascius, Scomber japonicus).","سمك الأسقمري ""ماكاريل""(  Scomber scombrus  ,Scomber australascius, Scomber japonicus).","03024400","2","150","50","200","وزن","0","","","",""
"92140","6/8/2025","[03024500] الشينشار ""chinchards"" (سمك سليمان)(من نوع تراكوروس trachurus spp)","الشينشار ""chinchards"" (سمك سليمان)(من نوع تراكوروس trachurus spp)","03024500","2","150","50","200","وزن","0","","","",""
"92141","6/8/2025","[03024600] سمك كوبيا (Rachycentron canadum)","سمك كوبيا (Rachycentron canadum)","03024600","2","150","50","200","وزن","0","","","",""
"92142","6/8/2025","[03024700] سمك أبو سيف أو سياف البحر (Xiphias gladius)","سمك أبو سيف أو سياف البحر (Xiphias gladius)","03024700","2","150","50","200","وزن","0","","","",""
"92143","6/8/2025","[03024900] غيرها","غيرها","03024900","2","150","50","200","وزن","0","","","",""
"92144","6/8/2025","[03025100] سمك القد (Gadus macrocephalus, Gadus ogac, Gadus morhua).","سمك القد (Gadus macrocephalus, Gadus ogac, Gadus morhua).","03025100","2","150","50","200","وزن","0","","","",""
"92145","6/8/2025","[03025200] سمك الحدوق (Melanogrammus aeglefinus).","سمك الحدوق (Melanogrammus aeglefinus).","03025200","2","150","50","200","وزن","0","","","",""
"92146","6/8/2025","[03025300] سمك أسود (Pollachius virens).","سمك أسود (Pollachius virens).","03025300","2","150","50","200","وزن","0","","","",""
